design	index_buffer_lines	descriptor_read_credits	simTicks	fill_sim_ticks	request_sim_ticks	output_hash	decision
bounded	4	24	55772531	17217191	30529394	7228541527853630339	reference
bounded	8	24	48619542	9856996	30554747	7228541527853630339	improves
bounded	16	24	47334364	8475414	30637692	7228541527853630339	improves
bounded	24	24	46892408	8153337	30525638	7228541527853630339	improves
bounded	32	24	46173760	7822496	30527516	7228541527853630339	selected
bounded	64	24	46149346	7442201	30612652	7228541527853630339	negligible_gain
bounded	32	32	46149346	7674760	30548174	7228541527853630339	reject_extra_control
hybrid	4	4	45282023	4179802	35330814	7228541527853630339	selected
hybrid	8	4	45479526	4046777	35141449	7228541527853630339	regresses
hybrid	16	4	45535240	3844266	35399361	7228541527853630339	regresses
hybrid	32	4	45470136	3431732	36558400	7228541527853630339	regresses
