workload	size	banks	simTicks	read_cycles	bank_conflict_cycles	binary_sha256	raw_root
CG	256	0	257943613	33644	0	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks0-r3
CG	256	1	298239233	163840	137168	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks1-samebin-r1
CG	256	2	280853335	105980	79308	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks2-samebin-r1
CG	256	4	268743052	73844	47172	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks4-samebin-r1
CG	256	8	263109365	55731	28553	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks8-r3
CG	256	16	260888630	44264	13004	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks16-r3
CG	256	32	258733938	38498	5425	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks32-r3
CG	256	64	257697282	35482	1915	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na256-payload-banks64-r3
CG	1024	0	1366470047	358810	0	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na1024-payload-banks0-r2
CG	1024	32	1369240097	384950	26199	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na1024-payload-banks32-r2
CG	1024	64	1366322624	362534	3726	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-cg-na1024-payload-banks64-r2
XRAGE	65536	0	37409134	16384	0	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-xrage-payload-banks0-samebin-r1
XRAGE	65536	2	39078676	41925	33733	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-xrage-payload-banks2-samebin-r1
XRAGE	65536	4	37526509	28596	15073	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-xrage-payload-banks4-samebin-r1
XRAGE	65536	8	37412264	20685	4413	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-xrage-payload-banks8-samebin-r1
XRAGE	65536	16	37412890	17552	1169	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-xrage-payload-banks16-samebin-r1
XRAGE	65536	32	37401309	16690	306	aa5c70b140b6fb66bfb9f4a28b34f009f025cf639eb288c01dbb91b0d2f609bb	/data1/nier/dx100-runs/2026-08-30-xrage-payload-banks32-r1
