configuration,admission_policy,tokens,divider_lanes,divider_latency,divider_ii,groups,dense_edges,active_cycles,token_high_water,token_pressure_cycles,fp_issue_stall_cycles,bank_read_conflict_cycles,bank_writeback_stall_cycles,result_bank_stall_cycles,completions,denominators,results,represented_token_bits_floor,incremental_token_bits_floor
current_t8_l8_ii64,global_corner_barrier,8,8,64,64,16,12,1580,8,782,924,0,112,112,128,128,128,471,0
current_t8_l8_ii64,global_corner_barrier,8,8,64,64,32,12,3160,8,2346,1848,0,224,224,256,256,256,471,0
current_t8_l8_ii64,global_corner_barrier,8,8,64,64,64,12,6320,8,5474,3696,0,448,448,512,512,512,471,0
tokens16_l8_ii64,global_corner_barrier,16,8,64,64,16,12,1366,16,0,718,1,112,113,128,128,128,471,3768
tokens16_l8_ii64,global_corner_barrier,16,8,64,64,32,12,2504,16,1400,1216,2,224,226,256,256,256,471,3768
tokens16_l8_ii64,global_corner_barrier,16,8,64,64,64,12,4776,16,3640,2208,4,448,452,512,512,512,471,3768
tokens24_l8_ii64,global_corner_barrier,24,8,64,64,16,12,1366,16,0,718,1,112,113,128,128,128,471,7536
tokens24_l8_ii64,global_corner_barrier,24,8,64,64,32,12,2568,24,950,1280,2,224,226,256,256,256,471,7536
tokens24_l8_ii64,global_corner_barrier,24,8,64,64,64,12,4840,24,3136,2272,6,448,454,512,512,512,471,7536
tokens32_l8_ii64,global_corner_barrier,32,8,64,64,16,12,1366,16,0,718,1,112,113,128,128,128,471,11304
tokens32_l8_ii64,global_corner_barrier,32,8,64,64,32,12,2630,32,0,1342,3,224,227,256,256,256,471,11304
tokens32_l8_ii64,global_corner_barrier,32,8,64,64,64,12,4904,32,2632,2336,3,448,451,512,512,512,471,11304
tokens32_lanes12_ii64,global_corner_barrier,32,12,64,64,16,12,1278,16,0,630,1,112,113,128,128,128,471,11304
tokens32_lanes12_ii64,global_corner_barrier,32,12,64,64,32,12,2114,32,0,826,2,224,226,256,256,256,471,11304
tokens32_lanes12_ii64,global_corner_barrier,32,12,64,64,64,12,3866,32,2254,1298,4,448,452,512,512,512,471,11304
tokens32_lanes16_ii64,global_corner_barrier,32,16,64,64,16,12,1054,16,0,406,0,112,112,128,128,128,471,11304
tokens32_lanes16_ii64,global_corner_barrier,32,16,64,64,32,12,1790,32,0,502,1,224,225,256,256,256,471,11304
tokens32_lanes16_ii64,global_corner_barrier,32,16,64,64,64,12,3310,32,1926,742,2,448,450,512,512,512,471,11304
tokens32_lanes8_ii32,global_corner_barrier,32,8,64,32,16,12,1126,16,0,478,0,112,112,128,128,128,471,11304
tokens32_lanes8_ii32,global_corner_barrier,32,8,64,32,32,12,1886,32,0,598,1,224,225,256,256,256,471,11304
tokens32_lanes8_ii32,global_corner_barrier,32,8,64,32,64,12,3284,32,2084,716,3,448,451,512,512,512,471,11304
tokens32_lanes8_ii16,global_corner_barrier,32,8,64,16,16,12,1062,16,0,414,0,112,112,128,128,128,471,11304
tokens32_lanes8_ii16,global_corner_barrier,32,8,64,16,32,12,1606,32,0,318,0,224,224,256,256,256,471,11304
tokens32_lanes8_ii16,global_corner_barrier,32,8,64,16,64,12,2950,32,1718,382,3,448,451,512,512,512,471,11304
tokens32_lanes8_ii8,global_corner_barrier,32,8,64,8,16,12,1054,16,0,406,0,112,112,128,128,128,471,11304
tokens32_lanes8_ii8,global_corner_barrier,32,8,64,8,32,12,1582,32,0,294,0,224,224,256,256,256,471,11304
tokens32_lanes8_ii8,global_corner_barrier,32,8,64,8,64,12,3126,32,1526,558,0,448,448,512,512,512,471,11304
tokens16_lanes12_ii64,global_corner_barrier,16,12,64,64,16,12,1278,16,0,630,1,112,113,128,128,128,471,3768
tokens16_lanes16_ii64,global_corner_barrier,16,16,64,64,16,12,1054,16,0,406,0,112,112,128,128,128,471,3768
tokens16_lanes8_ii32,global_corner_barrier,16,8,64,32,16,12,1126,16,0,478,0,112,112,128,128,128,471,3768
tokens16_lanes8_ii16,global_corner_barrier,16,8,64,16,16,12,1062,16,0,414,0,112,112,128,128,128,471,3768
tokens16_lanes8_ii8,global_corner_barrier,16,8,64,8,16,12,1054,16,0,406,0,112,112,128,128,128,471,3768
current_t8_l8_ii64,overlapped_group_blocks,8,8,64,64,16,12,1580,8,1485,924,0,112,112,128,128,128,471,0
tokens16_l8_ii64,overlapped_group_blocks,16,8,64,64,16,12,1154,16,0,513,1,112,113,128,128,128,471,3768
tokens24_l8_ii64,overlapped_group_blocks,24,8,64,64,16,12,1154,16,0,513,1,112,113,128,128,128,471,7536
tokens32_l8_ii64,overlapped_group_blocks,32,8,64,64,16,12,1154,16,0,513,1,112,113,128,128,128,471,11304
tokens32_lanes12_ii64,overlapped_group_blocks,32,12,64,64,16,12,940,16,0,299,1,112,113,128,128,128,471,11304
tokens32_lanes16_ii64,overlapped_group_blocks,32,16,64,64,16,12,1040,16,0,399,0,112,112,128,128,128,471,11304
tokens32_lanes8_ii32,overlapped_group_blocks,32,8,64,32,16,12,910,16,0,269,0,112,112,128,128,128,471,11304
tokens32_lanes8_ii16,overlapped_group_blocks,32,8,64,16,16,12,992,16,0,351,0,112,112,128,128,128,471,11304
tokens32_lanes8_ii8,overlapped_group_blocks,32,8,64,8,16,12,1040,16,0,399,0,112,112,128,128,128,471,11304
tokens16_lanes12_ii64,overlapped_group_blocks,16,12,64,64,16,12,940,16,0,299,1,112,113,128,128,128,471,3768
tokens16_lanes16_ii64,overlapped_group_blocks,16,16,64,64,16,12,1040,16,0,399,0,112,112,128,128,128,471,3768
tokens16_lanes8_ii32,overlapped_group_blocks,16,8,64,32,16,12,910,16,0,269,0,112,112,128,128,128,471,3768
tokens16_lanes8_ii16,overlapped_group_blocks,16,8,64,16,16,12,992,16,0,351,0,112,112,128,128,128,471,3768
tokens16_lanes8_ii8,overlapped_group_blocks,16,8,64,8,16,12,1040,16,0,399,0,112,112,128,128,128,471,3768
