id	output_hash	input_sha256	guest_sha256	baseline_ticks	candidate_ticks	latency_ratio	baseline_source_requests	candidate_source_requests	source_request_ratio	row_table_full_events	candidate_build_rounds	baseline_writes	candidate_writes	baseline_dram_reads_ch0	candidate_dram_reads_ch0	baseline_dram_activates_ch0	candidate_dram_activates_ch0	baseline_dram_precharges_ch0	candidate_dram_precharges_ch0
flag_static_2d_001.fp_00_gather	17529267342572166465	c5bad529c2dd45d23cee0bc10cfe5d109f2a971db1ade90a091a67dff641fe8c	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	36662629	37799758	1.0310160245191364	12297	12297	1.0	6	100	3995	3991	15293	15290	2386	2329	1595	1540
flag_static_2d_001.fp_01_gather	15180063804594494785	4863bc4ad276c6a7f3021fbd002bcc37d8c7c60b91502d2fd125d63269dfd11f	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	38613871	38997296	1.0099297218867282	12559	12732	1.013774982084561	6	103	4906	4084	15817	15520	3005	2557	2148	1696
flag_static_2d_001.fp_02_gather	10751059580019449153	549f83b4d28063b6240b4e6c1d424ee115142231017f304c26defa40d04ad471	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	29302434	29188189	0.9961011771240573	7312	7312	1.0	4	73	3992	3992	12508	12508	1425	1404	944	923
flag_static_2d_001.fp_03_gather	10751059580019449153	c7f8a957edf689cf92b9bcf14707f8f0ddacbaba6d6242557582a5204f5e274a	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	29302434	29188189	0.9961011771240573	7312	7312	1.0	4	73	3992	3992	12508	12508	1425	1404	944	923
flag_static_2d_001.nonfp_00_gather	5242985495939131051	82eb717150a0a321554788dac62bcf53b5460f87af1729dc3b72d22f61c8f2d5	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	39735976	39752878	1.0004253576154767	7415	7501	1.0115981119352664	3	137	11692	11530	13619	13567	2575	2421	1978	1823
flag_static_2d_001.nonfp_01_gather	1248237217243604651	e68891544be79a293fe9c35f5209209e1e3d38cefc9403613f06a83f6e3c19a9	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	43316070	44091997	1.0179131440132958	13698	13698	1.0	6	141	7994	7987	23929	23923	2569	2574	1683	1684
flag_static_2d_001.nonfp_02_gather	1248237217243604651	dc2a28bfc7be88c1a99c98d8e3548d76bc569bc339abfb54831f71d43c0551e5	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	43316070	44091997	1.0179131440132958	13698	13698	1.0	6	141	7994	7987	23929	23923	2569	2574	1683	1684
flag_static_2d_001.nonfp_03_gather	17529267342572166465	b16c0f8aba0bf377d429c054b426683220c9d012817d605b36b901a04a4931ed	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	36662629	37799758	1.0310160245191364	12297	12297	1.0	6	100	3995	3991	15293	15290	2386	2329	1595	1540
flag_static_2d_001.nonfp_04_gather	10751059580019449153	5938c8bea649b29380e9f19b2fc70002d91ebcc72d9348dc3e9d8c7fc5cece17	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	29302434	29188189	0.9961011771240573	7312	7312	1.0	4	73	3992	3992	12508	12508	1425	1404	944	923
flag_static_2d_001_00_gather	5242985495939131051	9f344be7df05084a33d1675e1cfa29fe60e0aa3740791b9900c74066e5443919	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	40174176	39922837	0.993743767140364	7415	7501	1.0115981119352664	3	137	11676	11470	13598	13550	2557	2435	1967	1845
flag_static_2d_001_01_gather	15180063804594494785	1aea650887ee2e0424a0208039f32bd777886c6c746514fc7945b86b66c9f61c	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	38850186	39030161	1.0046325389536102	12559	12732	1.013774982084561	6	103	4924	4084	15816	15518	3033	2538	2177	1683
flag_static_2d_001_02_gather	1248237217243604651	995cd9c0e9cfc37bdde92220e832162d6a5d5dbf837060c9d3e4cf87818f65ef	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	43586189	44292943	1.0162150905186962	13698	13698	1.0	6	141	7994	7987	23927	23926	2561	2574	1674	1689
flag_static_2d_001_03_gather	1248237217243604651	5050da44959941078daa859c13420a7e83a9e0e5be2452f506e5f6fd64153cf2	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	43586189	44292943	1.0162150905186962	13698	13698	1.0	6	141	7994	7987	23927	23926	2561	2574	1674	1689
flag_static_2d_001_04_gather	17529267342572166465	fadee14ce0da8334af2a3bf7d5416fc96bf5d1b5051aa3ed0bce445d71488488	0f6fb9e8077697fbf05ccd2c311e2e3fdc6d8e9a44110bd1235563c3bb9731ce	36695181	37856411	1.0316452996920766	12297	12297	1.0	6	100	3995	3991	15292	15291	2410	2345	1620	1559
