id	compact16_ticks	bounded4_ticks	latency_ratio	latency_delta_pct	output_length	minimum_c_writes	compact16_c_writes	bounded4_c_writes	compact16_excess_c_writes	bounded4_excess_c_writes	roi_memory_reads_delta	dram_reads_delta	dram_activates_delta	dram_precharges_delta
flag_static_2d_001.fp_00_gather	35124860	37737471	1.0743806808055605	7.438068080556048	31923	3991	3995	3991	4	0	-1	1991	238	172
flag_static_2d_001.fp_01_gather	37164994	38252043	1.029249271505331	2.9249271505330965	31923	3991	4903	3996	912	5	-513	1486	-646	-735
flag_static_2d_001.fp_02_gather	27857939	29540940	1.0604136939204296	6.041369392042961	31923	3991	3992	3991	1	0	3	1978	239	178
flag_static_2d_001.fp_03_gather	27857939	29540940	1.0604136939204296	6.041369392042961	31923	3991	3992	3991	1	0	3	1978	239	178
flag_static_2d_001.nonfp_00_gather	37572833	36806296	0.9795986371323131	-2.04013628676869	63846	7981	11673	8307	3692	326	-2726	1253	-485	-602
flag_static_2d_001.nonfp_01_gather	40595474	44096379	1.0862388009067219	8.623880090672188	63846	7981	7994	7981	13	0	-5	3994	253	126
flag_static_2d_001.nonfp_02_gather	40595474	44096379	1.0862388009067219	8.623880090672188	63846	7981	7994	7981	13	0	-5	3994	253	126
flag_static_2d_001.nonfp_03_gather	35259137	37737471	1.0702891281769036	7.028912817690358	31923	3991	3995	3991	4	0	-1	1997	229	162
flag_static_2d_001.nonfp_04_gather	27857939	29540940	1.0604136939204296	6.041369392042961	31923	3991	3992	3991	1	0	3	1978	239	178
flag_static_2d_001_00_gather	37730272	37116792	0.9837403769577914	-1.6259623042208626	63846	7981	11695	8301	3714	320	-2769	1230	-487	-602
flag_static_2d_001_01_gather	37560626	38403848	1.0224496258395694	2.2449625839569443	31923	3991	4935	3996	944	5	-544	1463	-632	-727
flag_static_2d_001_02_gather	41085006	44419708	1.0811659124499093	8.116591244990934	63846	7981	7994	7981	13	0	-5	3995	214	85
flag_static_2d_001_03_gather	41085006	44419708	1.0811659124499093	8.116591244990934	63846	7981	7994	7981	13	0	-5	3995	214	85
flag_static_2d_001_04_gather	35239105	37811339	1.0729937380645735	7.299373806457354	31923	3991	3995	3991	4	0	-1	2003	249	195
