id	output_hash	epoch16_ticks	cap16_ticks	cap4_ticks	schedule_latency_ratio	latency_ratio	combined_latency_ratio	epoch16_writes	cap16_writes	cap4_writes	schedule_write_ratio	write_ratio	cap16_epoch_drains	cap4_epoch_drains	cap16_table_full	cap4_table_full	cap16_source_requests	cap4_source_requests	issue_digest_identical	dram_reads_identical	dram_activates_identical	dram_precharges_identical
flag_static_2d_001.fp_00_gather	17529267342572166465	37799758	37737471	37737471	0.9983521852176938	1.0	0.9983521852176938	3991	3991	3991	1.0	1.0	4	4	0	4	12300	12300	True	True	True	True
flag_static_2d_001.fp_01_gather	15180063804594494785	38997296	38252043	38252043	0.9808896237318608	1.0	0.9808896237318608	4084	3996	3996	0.9784524975514202	1.0	3	3	0	3	12884	12884	True	True	True	True
flag_static_2d_001.fp_02_gather	10751059580019449153	29188189	29540940	29540940	1.0120854020782173	1.0	1.0120854020782173	3992	3991	3991	0.999749498997996	1.0	5	5	0	5	7316	7316	True	True	True	True
flag_static_2d_001.fp_03_gather	10751059580019449153	29188189	29540940	29540940	1.0120854020782173	1.0	1.0120854020782173	3992	3991	3991	0.999749498997996	1.0	5	5	0	5	7316	7316	True	True	True	True
flag_static_2d_001.nonfp_00_gather	5242985495939131051	39752878	36806296	36806296	0.9258775175975938	1.0	0.9258775175975938	11530	8307	8307	0.7204683434518647	1.0	12	12	0	12	7953	7953	True	True	True	True
flag_static_2d_001.nonfp_01_gather	1248237217243604651	44091997	44096379	44096379	1.0000993831148088	1.0	1.0000993831148088	7987	7981	7981	0.9992487792663077	1.0	11	11	0	11	13706	13706	True	True	True	True
flag_static_2d_001.nonfp_02_gather	1248237217243604651	44091997	44096379	44096379	1.0000993831148088	1.0	1.0000993831148088	7987	7981	7981	0.9992487792663077	1.0	11	11	0	11	13706	13706	True	True	True	True
flag_static_2d_001.nonfp_03_gather	17529267342572166465	37799758	37737471	37737471	0.9983521852176938	1.0	0.9983521852176938	3991	3991	3991	1.0	1.0	4	4	0	4	12300	12300	True	True	True	True
flag_static_2d_001.nonfp_04_gather	10751059580019449153	29188189	29540940	29540940	1.0120854020782173	1.0	1.0120854020782173	3992	3991	3991	0.999749498997996	1.0	5	5	0	5	7316	7316	True	True	True	True
flag_static_2d_001_00_gather	5242985495939131051	39922837	37116792	37116792	0.9297132866584606	1.0	0.9297132866584606	11470	8301	8301	0.7237140366172624	1.0	12	12	0	12	7953	7953	True	True	True	True
flag_static_2d_001_01_gather	15180063804594494785	39030161	38403848	38403848	0.9839531023200238	1.0	0.9839531023200238	4084	3996	3996	0.9784524975514202	1.0	3	3	0	3	12884	12884	True	True	True	True
flag_static_2d_001_02_gather	1248237217243604651	44292943	44419708	44419708	1.0028619683275506	1.0	1.0028619683275506	7987	7981	7981	0.9992487792663077	1.0	11	11	0	11	13706	13706	True	True	True	True
flag_static_2d_001_03_gather	1248237217243604651	44292943	44419708	44419708	1.0028619683275506	1.0	1.0028619683275506	7987	7981	7981	0.9992487792663077	1.0	11	11	0	11	13706	13706	True	True	True	True
flag_static_2d_001_04_gather	17529267342572166465	37856411	37811339	37811339	0.9988093958510753	1.0	0.9988093958510753	3991	3991	3991	1.0	1.0	4	4	0	4	12300	12300	True	True	True	True
